2023-12-16 13:15:25 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.iv-generator-classname, using default value: org.jasypt.iv.RandomIvGenerator
2023-12-16 14:09:46 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
2023-12-16 14:09:49 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/favicon.ico'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/swagger-resources/**'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/webjars/**'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/v2/**'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/doc.html'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/admin/user/save'], []
2023-12-16 14:09:49 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3bda1f0, org.springframework.security.web.context.SecurityContextPersistenceFilter@6eb5b9e7, org.springframework.security.web.header.HeaderWriterFilter@d3d5094, org.springframework.web.filter.CorsFilter@2211e731, org.springframework.security.web.authentication.logout.LogoutFilter@183ef89a, com.house.agents.security.TokenAuthenticationFilter@73e399cc, com.house.agents.security.TokenLoginFilter@3dd591b9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d3c501b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6a0e97fc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@538905d2, org.springframework.security.web.session.SessionManagementFilter@3c3cd7a5, org.springframework.security.web.access.ExceptionTranslationFilter@26612078, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@32428874]
2023-12-16 14:09:49 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2023-12-16 14:09:49 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8888"]
2023-12-16 14:09:49 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8888 (http) with context path ''
2023-12-16 14:09:49 |INFO  |main |RefreshScopeRefreshedEventListener.java:70 |com.ulisesbocchio.jasyptspringboot.caching.RefreshScopeRefreshedEventListener |Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2023-12-16 14:09:49 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemProperties refreshed
2023-12-16 14:09:49 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemEnvironment refreshed
2023-12-16 14:09:49 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source random refreshed
2023-12-16 14:09:49 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source applicationConfig: [classpath:/application.yaml] refreshed
2023-12-16 14:09:49 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-12-16 14:09:49 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-12-16 14:09:49 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2023-12-16 14:09:49 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2023-12-16 14:09:49 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2023-12-16 14:09:49 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2023-12-16 14:09:49 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_1
2023-12-16 14:09:49 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: downloadUsingGET_1
2023-12-16 14:09:49 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getListUsingPOST_1
2023-12-16 14:09:49 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: importBookUsingPOST_1
2023-12-16 14:09:49 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_1
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_1
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_2
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateUsingPUT_1
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_2
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: deleteByIdUsingDELETE_1
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: doAssignUsingPUT_1
2023-12-16 14:09:50 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getAssignUsingGET_1
2023-12-16 14:09:50 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2023-12-16 14:09:50 |INFO  |main |StartupInfoLogger.java:61 |com.house.agents.HouseApplication |Started HouseApplication in 6.348 seconds (JVM running for 7.784)
2023-12-16 14:10:48 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-12-16 14:10:54 |INFO  |main |StartupInfoLogger.java:55 |com.house.agents.HouseApplication |Starting HouseApplication on DESKTOP-TOIK954 with PID 38808 (E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents\system-service\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents)
2023-12-16 14:10:54 |INFO  |main |SpringApplication.java:655 |com.house.agents.HouseApplication |The following profiles are active: dev
2023-12-16 14:10:55 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-16 14:10:55 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-16 14:10:55 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 30ms. Found 0 Redis repository interfaces.
2023-12-16 14:10:55 |INFO  |main |EnableEncryptablePropertiesBeanFactoryPostProcessor.java:44 |com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor |Post-processing PropertySource instances
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2023-12-16 14:10:55 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource applicationConfig: [classpath:/application.yaml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2023-12-16 14:10:56 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8888 (http)
2023-12-16 14:10:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8888"]
2023-12-16 14:10:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2023-12-16 14:10:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2023-12-16 14:10:56 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2023-12-16 14:10:56 |INFO  |main |ServletWebServerApplicationContext.java:285 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1556 ms
2023-12-16 14:10:56 |INFO  |main |DefaultLazyPropertyFilter.java:45 |com.ulisesbocchio.jasyptspringboot.filter.DefaultLazyPropertyFilter |Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2023-12-16 14:10:56 |INFO  |main |DefaultLazyPropertyResolver.java:46 |com.ulisesbocchio.jasyptspringboot.resolver.DefaultLazyPropertyResolver |Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2023-12-16 14:10:56 |INFO  |main |DefaultLazyPropertyDetector.java:44 |com.ulisesbocchio.jasyptspringboot.detector.DefaultLazyPropertyDetector |Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2023-12-16 14:10:56 |INFO  |main |DefaultLazyEncryptor.java:46 |com.ulisesbocchio.jasyptspringboot.encryptor.DefaultLazyEncryptor |String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWITHHMACSHA512ANDAES_256
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.key-obtention-iterations, using default value: 1000
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.iv-generator-classname, using default value: org.jasypt.iv.RandomIvGenerator
2023-12-16 14:10:56 |INFO  |main |StringEncryptorBuilder.java:119 |com.ulisesbocchio.jasyptspringboot.configuration.StringEncryptorBuilder |Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
2023-12-16 14:10:59 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/favicon.ico'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/swagger-resources/**'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/webjars/**'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/v2/**'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/doc.html'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/admin/user/save'], []
2023-12-16 14:10:59 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b5aa48b, org.springframework.security.web.context.SecurityContextPersistenceFilter@50b38342, org.springframework.security.web.header.HeaderWriterFilter@4df13dd0, org.springframework.web.filter.CorsFilter@51c008fd, org.springframework.security.web.authentication.logout.LogoutFilter@60b553f, com.house.agents.security.TokenAuthenticationFilter@70ed902a, com.house.agents.security.TokenLoginFilter@22f80e36, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@408d945b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11582db6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3c98981e, org.springframework.security.web.session.SessionManagementFilter@30665461, org.springframework.security.web.access.ExceptionTranslationFilter@3265995e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4ce18cec]
2023-12-16 14:10:59 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2023-12-16 14:10:59 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8888"]
2023-12-16 14:10:59 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8888 (http) with context path ''
2023-12-16 14:10:59 |INFO  |main |RefreshScopeRefreshedEventListener.java:70 |com.ulisesbocchio.jasyptspringboot.caching.RefreshScopeRefreshedEventListener |Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2023-12-16 14:10:59 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemProperties refreshed
2023-12-16 14:10:59 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemEnvironment refreshed
2023-12-16 14:10:59 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source random refreshed
2023-12-16 14:10:59 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source applicationConfig: [classpath:/application.yaml] refreshed
2023-12-16 14:10:59 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-12-16 14:10:59 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-12-16 14:10:59 |INFO  |main |EncryptablePropertySourceConverter.java:110 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2023-12-16 14:10:59 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2023-12-16 14:10:59 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2023-12-16 14:11:00 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: downloadUsingGET_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getListUsingPOST_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: importBookUsingPOST_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_2
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateUsingPUT_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_2
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: deleteByIdUsingDELETE_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: doAssignUsingPUT_1
2023-12-16 14:11:00 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getAssignUsingGET_1
2023-12-16 14:11:00 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2023-12-16 14:11:00 |INFO  |main |StartupInfoLogger.java:61 |com.house.agents.HouseApplication |Started HouseApplication in 6.391 seconds (JVM running for 7.752)
2023-12-16 14:12:21 |INFO  |http-nio-8888-exec-9 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-16 14:12:21 |INFO  |http-nio-8888-exec-9 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2023-12-16 14:12:21 |INFO  |http-nio-8888-exec-9 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 10 ms
2023-12-16 14:12:21 |INFO  |http-nio-8888-exec-9 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/user/login
2023-12-16 14:12:22 |INFO  |http-nio-8888-exec-9 |HikariDataSource.java:110 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Starting...
2023-12-16 14:12:22 |INFO  |http-nio-8888-exec-9 |HikariDataSource.java:123 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Start completed.
2023-12-16 14:12:32 |INFO  |http-nio-8888-exec-4 |TokenAuthenticationFilter.java:43 |com.house.agents.security.TokenAuthenticationFilter |uri:/admin/house/1735326701858136065
2023-12-16 14:18:10 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-12-16 14:18:10 |INFO  |SpringContextShutdownHook |HikariDataSource.java:350 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown initiated...
2023-12-16 14:18:10 |INFO  |SpringContextShutdownHook |HikariDataSource.java:352 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown completed.
2023-12-16 14:18:19 |INFO  |main |StartupInfoLogger.java:55 |com.house.agents.HouseApplication |Starting HouseApplication on DESKTOP-TOIK954 with PID 44852 (E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents\system-service\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\houseAgents)
2023-12-16 14:18:19 |INFO  |main |SpringApplication.java:655 |com.house.agents.HouseApplication |The following profiles are active: dev
2023-12-16 14:18:20 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-16 14:18:20 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-16 14:18:20 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 35ms. Found 0 Redis repository interfaces.
2023-12-16 14:18:20 |INFO  |main |EnableEncryptablePropertiesBeanFactoryPostProcessor.java:44 |com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor |Post-processing PropertySource instances
2023-12-16 14:18:20 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-12-16 14:18:20 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-12-16 14:18:20 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
